Batch Job Group ID,Batch Job Group Name,Job Plan ID,Job Plan Name
15101175,DM_REF_PARTIES_JOB,15100931,DM_REF_PARTIES
15101176,DM_REF_SMF_JOB,15100932,DM_REF_SMF
15101177,TRN_EXT_CL_TRD,15100933,TRN_EXT_CL_TRD
15101178,DM_REF_BONDS,15100934,DM_REF_BONDS
15101179,DM_REF_MKTDATA,15100935,DM_REF_MKTDATA
15101180,DM_REF_SEC_ALL,15100936,DM_REF_SEC_ALL
15101181,TRN_CASH,15100937,TRN_CASH
15101182,RE_DWH_LOAD,15100938,RE_DWH_LOAD
15101183,RECON_INT_BNK_CB,15100939,RECON_INT_BNK_CB
15101184,RECON_INT_UNIT_1,15100940,RECON_INT_UNIT_1
15101185,RECON_INT_UNIT_2,15100941,RECON_INT_UNIT_2
15101186,RECON_NT_CSH_BAL,15100942,RECON_NT_CSH_BAL
15101187,RECON_NT_CSH_PMT,15100943,RECON_NT_CSH_PMT
15101188,RECON_NT_POS_IAB,15100944,RECON_NT_POS_IAB
15101189,RECON_NT_WTAX,15100945,RECON_NT_WTAX
15101190,RECON_NT_POS_IO,15100946,RECON_NT_POS_IO
15101191,RECON_NT_TRX,15100947,RECON_NT_TRX
15101192,SA_EOD_ADMIN,15100948,SA_EOD_ADMIN
15101193,SA_SOD_ADMIN,15100949,SA_SOD_ADMIN
15101194,TM_DEPO_REPO,15100951,TM_DEPO_REPO
15101195,DM_REF_EXTRACTS,15100952,DM_REF_EXTRACTS
15101196,TRN_FUT,15100953,TRN_FUT
15101197,DM_REF_BANK_HOLIDAYS_REF,15100954,DM_REF_BANK_HOLIDAYS
15101198,SA_EOD_PMT,15100955,SA_EOD_PMT
15101199,AS_24D_CA_CR_SDTR,15100956,AS_24D_CA_CR_SDTR
15101200,PERF_CASH_BUCKETS,15100958,PERF_CASH_BUCKETS
15101201,PERF_DAILY_FUND,15100959,PERF_DAILY_FUND
15101202,PERF_DAILY_CLIENT,15100960,PERF_DAILY_CLIENT
15101203,PERF_DAILY_INDEX,15100961,PERF_DAILY_INDEX
15101204,PERF_ME_FUND,15100962,PERF_ME_FUND
15101205,PERF_ME_CLIENT,15100963,PERF_ME_CLIENT
15101206,PERF_WEEKLY_FUND,15100964,PERF_WEEKLY_FUND
15101207,RE_CASH_MGMT,15100965,RE_CASH_MGMT
15101208,PERF_INDEX_UNIDATA,15100966,PERF_INDEX_UNIDATA
15101209,GL_CONTR_SURP_REBOOK,15100967,GL_CONTR_SURP_REBOOK
15101210,TRN_REPO,15100968,TRN_REPO
