Sort,Batch Job Group,Batch Job Group Name,Batch Job,Batch Job Name,Batch Task (IK),Extracts Exporter,Extraction Setup,Extraction Dedinitions,Data Format Setup,Extract Table,Data Import,Data Import Mapping,Data Import Rule,Reference File Import,Reference File Export,Create Job,Portfolio Calculation,General Reconciliation,Corporate Action Manager Setup
5,ADHOC_DWHRC_ABOR_POS,Adhoc Recon: DWH-SCD ABOR Positions,DWHREC_ABOR_EXTRACT,Recon: SCD ABOR Positions Extract,Extracts Exporter Definitions - Execute,DWHREC_ABORP_SCD,DWHREC_ABORP_SCD,DWHREC_ABORP_SCD,,,,,,,DWHREC_ABORSCD_W,,,,
10,ADHOC_DWHRC_ABOR_POS,Adhoc Recon: DWH-SCD ABOR Positions,DWHREC_ABOR_01,Recon: DWH-SCD ABOR Positions - Set 1,General Reconciliation - Execute,,,,,,,,,DWHREC_ABORP_DWH,,,,DWHREC_ABOR_01,
15,ADHOC_DWHRC_ABOR_POS,Adhoc Recon: DWH-SCD ABOR Positions,DWHREC_ABOR_02,Recon: DWH-SCD ABOR Positions - Set 2,General Reconciliation - Execute,,,,,,,,,DWHREC_ABORP_DWH,,,,DWHREC_ABOR_02,
20,ADHOC_DWHRC_ABOR_POS,Adhoc Recon: DWH-SCD ABOR Positions,DWHREC_ABOR_03,Recon: DWH-SCD ABOR Positions - Set 3,General Reconciliation - Execute,,,,,,,,,DWHREC_ABORP_DWH,,,,DWHREC_ABOR_03,
25,ADHOC_DWHRC_ABOR_POS,Adhoc Recon: DWH-SCD ABOR Positions,DWHREC_ABOR_04,Recon: DWH-SCD ABOR Positions - Set 4,General Reconciliation - Execute,,,,,,,,,DWHREC_ABORP_DWH,,,,DWHREC_ABOR_04,
5,ADHOC_DWHRC_FUND_DCP,Adhoc Recon: DWH-SCD Fund Decomposition Positions,DWHREC_FUNDCMP_EXT,Recon: SCD Fund Decomposition Positions Extract,Extracts Exporter Definitions - Execute,DWHREC_FUND_DCMP,DWHREC_FUND_DCMP,DWHREC_FUND_DCMP,,,,,,,DWHREC_FUNDCMP_W,,,,
10,ADHOC_DWHRC_FUND_DCP,Adhoc Recon: DWH-SCD Fund Decomposition Positions,DWHREC_FNDCMP_01,Recon: DWH - SCD - Fund Decomp Set 1,General Reconciliation - Execute,,,,,,,,,DWHREC_FUND_DCMP,,,,DWHREC_FNDCMP_01,
15,ADHOC_DWHRC_FUND_DCP,Adhoc Recon: DWH-SCD Fund Decomposition Positions,DWHREC_FNDCMP_02,Recon: DWH - SCD - Fund Decomp Set 2,General Reconciliation - Execute,,,,,,,,,DWHREC_FUND_DCMP,,,,DWHREC_FNDCMP_02,
25,ADHOC_DWHRC_FUND_DCP,Adhoc Recon: DWH-SCD Fund Decomposition Positions,DWHREC_FNDCMP_03,Recon: DWH - SCD - Fund Decomp Set 3,General Reconciliation - Execute,,,,,,,,,DWHREC_FUND_DCMP,,,,DWHREC_FNDCMP_03,
35,ADHOC_DWHRC_FUND_DCP,Adhoc Recon: DWH-SCD Fund Decomposition Positions,DWHREC_FNDCMP_04,Recon: DWH - SCD - Fund Decomp Set 4,General Reconciliation - Execute,,,,,,,,,DWHREC_FUND_DCMP,,,,DWHREC_FNDCMP_04,
5,ADHOC_IAB_INC_ALL,Inc Allo Recon,INC_ALLO_RECON,Recon GL accounts 551075 and 55108 - Calculate breaks,Extracts Exporter Definitions - Execute,RECON_551,RECON_GL_SL_551075_551080,RECON_GL_SL_551075_551080,,,,,,,RECON_551_BREAKS,,,,
5,ADHOC_IAB_TAXINCCOMP,ADHOC IAB TAX INCOME COMPONENTS RECON,IAB_TAX_INC_COMP,Income Allocation Taxable Income Components,Extracts Exporter Definitions - Execute,IAB_TAX_INC_COMP,IAB_TAX_INC_COMP,IAB_TAX_INC_COMP,,,,,,,IAB_TAX_INC_COMP,,,,
10,ADHOC_MANUAL_PCL,Ad-Hoc - Manual Close PCL,ADHOC_MANUAL_PCL,Ad-Hoc - Manual Close PCL,Extraction Setups - Execute,,EOY_PCL_UPDT,EOY_PCL_UPDT,EOY_PCL_UPDT,,,,,,,,,,
0,ADHOC_PERF_DAILY_CLI,Adhoc PERF_DAILY_CLIENT,PERF_ADHOC_CHECK,PerfCalc_Perf_Check_AllClients_Calc4 - LIVEadhoc,Performance Calculation - Execute Including Closed Periods,,,,,,,,,,,,,,
20,ADHOC_PERF_DAILY_CLI,Adhoc PERF_DAILY_CLIENT,PERF_ADHOC_C_CALC_03,PerfCalc_Client_Calc3 - LIVEadhoc,Performance Calculation - Execute Including Closed Periods,,,,,,,,,,,,,,
30,ADHOC_PERF_DAILY_CLI,Adhoc PERF_DAILY_CLIENT,PERF_ADHOC_C_MEAS_01,PerfMeas_Client_Meas1 - C_PORT_RTNadhoc,Performance Measurement - Execute,,,,,,,,,,,,,,
