ID,Job Plan Name,Schedule IDs,Schedule Names,Schedule Times
12250633,SCD_EOD_PROCESSING,['32447604'],['SCD_WEEKDAY_830pm'],['20:30:00']
12250634,SCD_RECON,['12250674'],['SCD_WEEKDAY_11pm'],['23:00:00']
12250635,zz_SCD_PERF_DAILY,['12250674'],['SCD_WEEKDAY_11pm'],['23:00:00']
12250636,zz_SCD_EXTRACTS_PRE_EOD,['18491256'],['SCD_WEEKDAY_6pm'],['18:00:00']
12250637,SCD_DWH_LOAD,['32447810'],['SCD_WEEKDAY_845pm'],['20:45:00']
12250638,SCD_SOD,['12250668'],['SCD_WEEKDAY_330am'],['03:30:00']
12250658,SA_CASH_MGMT,['12250668'],['SCD_WEEKDAY_330am'],['03:30:00']
12250659,SCD_DWH_RECON,['15678606'],['SCD_WEEKDAY_1130pm'],['23:30:00']
12251910,RE_CASH_MGMT,"['17068488', '14680619', '17068484']","['SCD_WEEKDAY_12pm', 'SCD_WEEKDAY_3pm', 'SCD_WEEKDAY_5am']","['12:00:00', '15:00:00', '05:00:00']"
12251911,PAYMENT_RECONCILIATION,['12250666'],['PAYMENT_RECONCILIATION'],['09:00:00']
12251912,SCD_EXTRACTS_6pm,['18491256'],['SCD_WEEKDAY_6pm'],['18:00:00']
12251913,AS_24D_CA_CR_SDTR,['12250671'],['AS_24D_CA_CR_SDTR'],['05:00:00']
12251915,FLS_DEXS,['12250673'],['SCD_WEEKDAY_330pm'],['15:30:00']
12679065,SCD_PERF_ME,['14626092'],['SCD_EOM_1140pm'],['23:40:00']
12685423,SCD_PERF_DWH_LOAD,['12250674'],['SCD_WEEKDAY_11pm'],['23:00:00']
13472005,SOD_SET_DATE,['13502919'],['SCD_DAILY_1am'],['01:00:00']
13676572,SCD_RECON_NT_CASH_PMT,['17024013'],['SCD_WEEKDAY_8pm'],['20:00:00']
15055811,SCD_EXTRACTS_POST_EOD,['32447810'],['SCD_WEEKDAY_845pm'],['20:45:00']
15378725,MANUAL_QUOTES,['15678730'],['SCD_WEEKDAY_10pm'],['22:00:00']
16010534,SCD_FLS_DEX_EXTRACT,['32447810'],['SCD_WEEKDAY_845pm'],['20:45:00']
16192913,FLS_DEXS_DO,['12250673'],['SCD_WEEKDAY_330pm'],['15:30:00']
