ID,Name,Parent ID,Parent Name,Object Type,Path Name
12249833,PROD,0,SimCorp Dimension,Plan,PROD
12249910,Queues_Users,12249833,PROD,Plan,PROD/Queues_Users
12249925,$Folder,12249833,PROD,Plan,PROD/$Folder
12250117,Alerts,12249833,PROD,Plan,PROD/Alerts
12250118,Job_Templates,12249833,PROD,Plan,PROD/Job_Templates
12250119,Jobs,12249833,PROD,Plan,PROD/Jobs
12250450,File_Templates,12249833,PROD,Plan,PROD/File_Templates
12250451,Adhoc_Plans,12249833,PROD,Plan,PROD/Adhoc_Plans
12250629,Schedules,12249833,PROD,Plan,PROD/Schedules
12250630,External_Dependency_Plans,12249833,PROD,Plan,PROD/External_Dependency_Plans
12250631,Constraints,12249833,PROD,Plan,PROD/Constraints
12250632,Constraint_Triggered_Plans,12249833,PROD,Plan,PROD/Constraint_Triggered_Plans
12250998,Plans,12249833,PROD,Plan,PROD/Plans
12251909,Scheduled_Plans,12249833,PROD,Plan,PROD/Scheduled_Plans
12251978,Triggered_Plans,12249833,PROD,Plan,PROD/Triggered_Plans
12559837,Email_Templates,12249833,PROD,Plan,PROD/Email_Templates
13868428,$JobPlan,12249833,PROD,JobPlan,PROD/$JobPlan
27355211,vc_Variables,12249833,PROD,JobPlan,PROD/vc_Variables
27355222,vce_Variables,12249833,PROD,JobPlan,PROD/vce_Variables
30819760,Calendars,12249833,PROD,Plan,PROD/Calendars
12249935,$Job,12249833,PROD,Job,PROD/$Job
12249936,$Reference,12249833,PROD,Reference,PROD/$Reference
12250120,DM_REF_PARTIES,12250119,Jobs,JobPlan,PROD/Jobs/DM_REF_PARTIES
12250121,DM_REF_SMF,12250119,Jobs,JobPlan,PROD/Jobs/DM_REF_SMF
12250122,TRN_EXT_CL_TRD,12250119,Jobs,JobPlan,PROD/Jobs/TRN_EXT_CL_TRD
12250123,DM_REF_BONDS,12250119,Jobs,JobPlan,PROD/Jobs/DM_REF_BONDS
12250124,DM_REF_MKTDATA,12250119,Jobs,JobPlan,PROD/Jobs/DM_REF_MKTDATA
12250125,DM_REF_SEC_ALL,12250119,Jobs,JobPlan,PROD/Jobs/DM_REF_SEC_ALL
12250126,TRN_CASH,12250119,Jobs,JobPlan,PROD/Jobs/TRN_CASH
12250127,RE_DWH_LOAD,12250119,Jobs,JobPlan,PROD/Jobs/RE_DWH_LOAD
12250128,RECON_INT_BNK_CB,12250119,Jobs,JobPlan,PROD/Jobs/RECON_INT_BNK_CB
12250129,RECON_INT_UNIT_1,12250119,Jobs,JobPlan,PROD/Jobs/RECON_INT_UNIT_1
12250130,RECON_INT_UNIT_2,12250119,Jobs,JobPlan,PROD/Jobs/RECON_INT_UNIT_2
