ID,Schedule Name
15104836,RE_CASH_MGMT
15104837,PAYMENT_RECONCILLIATION
15104838,SCD_WEEKDAY_1045pm
15104839,SCD_WEEKDAY_330am
15104840,SCD_WEEKDAY_1030pm
15104841,SCD_EXTRACTS_6pm
15104842,AS_24D_CA_CR_SDTR
15104843,SCD_WEEKDAY_330pm
15104844,SCD_WEEKDAY_11pm
15104845,FX_HEDGE_EXTRACT
15104846,SCD_DAILY_1am
15104847,BroadRidge_SWIFT
15104848,SWIFT_Schedule
15104849,SCD_EOM_1145pm
15104850,SCD_WEEKDAY_6am
15104851,SCD_SATURDAY_6pm
15104852,SCD_EOM_10pm
15104853,SCD_WEEKDAY_4pm
15104854,SCD_WEEKDAY_3pm
15104855,SCD_DAILY_7am
15104856,Rotate_Callout
15104857,SCD_WEEKDAY_9pm
15104858,SCD_WEEKDAY_1130pm
15104859,SCD_WEEKDAY_1145pm
15104860,SCD_WEEKDAY_10pm
15317452,SCD_WEEKDAY_7pm
15533378,SCD_WEEKDAY_640pm
15727923,SCD_EOM_6pm
15727940,SCD_EOM_615pm
15727941,SCD_EOM_630pm
15727947,SCD_EOM_1140pm
16096763,SCD_WEEKDAY_1am
16529646,SCD_WEEKDAY_EVERY_15m
17428639,SCD_WEEKDAY_9am
17774173,SCD_WEEKDAY_EVERY_HR_6AM_5PM
20777149,SCD_WEEKDAY_8pm
20777168,SCD_WEEKDAY_8:45pm
20777370,SCD_WEEKDAY_915pm
20777495,SCD_WEEKDAY_945pm
23940957,Service_Platform_Enable
23940958,Service_Platform_Suspend
26622009,SCD_WEEKDAY_5pm
26622010,SCD_WEEKDAY_230pm
26622068,SCD_WEEKDAY_7am
28027215,SCD_EOM_5pm
30143019,SCD_WEEKDAY_10am
30726821,SCD_WEEKDAY_EVERY_30m_Between_6am_1130am
30726822,SCD_WEEKDAY_EVERY_15m_Between_1130am_1pm
31801166,SCD_SUNDAY_6am
32125826,SCD_SUNDAY_6pm
15414700,CHECK_SCD_EOD_PROCESSING
15500623,Check_SCD_SOD
25333504,Check_FILE_AGE
